종목별,현재가,전일비,등락률,거래량,거래대금 (백만),시가총액 (억)
크래프톤,"224,500","상승 3,000",+1.35%,"45,574","10,249","103,579"
카카오뱅크,"21,575",상승 75,+0.35%,"319,379","6,915","102,939"
LS,"317,500","하락 15,500",-4.65%,"93,048","30,032","99,060"
NH투자증권,"26,800",상승 750,+2.88%,"188,573","5,034","98,947"
삼성E&A,"48,850",상승 350,+0.72%,"706,828","34,618","95,746"
삼성에피스홀딩스,"376,500","상승 13,000",+3.58%,"33,011","12,414","93,685"
HD현대마린솔루션,"208,000","하락 1,500",-0.72%,"24,457","5,088","93,254"
대한항공,"25,200",상승 150,+0.60%,"747,775","18,801","92,792"
포스코인터내셔널,"52,600","상승 1,900",+3.75%,"468,248","24,294","92,535"
한국타이어앤테크놀로지,"66,600","하락 1,500",-2.20%,"86,041","5,764","82,501"
삼성증권,"92,500","상승 7,500",+8.82%,"588,218","53,760","82,602"
아모레퍼시픽,"136,100","상승 3,000",+2.25%,"101,255","13,748","79,609"
한화솔루션,"35,300",상승 650,+1.88%,"1,827,387","65,641","79,387"
한진칼,"116,200",하락 100,-0.09%,"26,415","3,079","77,578"
이수페타시스,"103,400","하락 1,000",-0.96%,"299,453","31,083","75,905"
하이브,"175,400","상승 3,200",+1.86%,"93,538","16,423","75,609"
LG씨엔에스,"74,100","상승 3,100",+4.37%,"468,321","34,672","71,792"
키움증권,"273,000","상승 7,500",+2.82%,"45,552","12,424","71,603"
대우건설,"17,000",하락 200,-1.16%,"1,476,249","25,188","69,854"
SK바이오팜,"87,200","상승 1,900",+2.23%,"64,004","5,589","68,289"
코웨이,"94,100",상승 600,+0.64%,"51,457","4,846","66,592"
유한양행,"83,600","상승 4,000",+5.03%,"153,073","12,649","66,585"
LG유플러스,"14,790",상승 60,+0.41%,"242,012","3,580","62,773"
카카오페이,"45,200","상승 3,950",+9.58%,"381,542","17,395","61,143"
HD건설기계,"124,400","하락 4,800",-3.72%,"83,288","10,532","59,615"
한화,"83,800",보합 0,0.00%,0,0,"59,086"
두산밥캣,"59,600","하락 2,200",-3.56%,"96,286","5,815","57,130"
대한전선,"28,600",상승 600,+2.14%,"523,012","14,940","56,054"
OCI홀딩스,"291,500","상승 14,000",+5.05%,"239,851","70,770","54,424"
산일전기,"177,600","상승 1,900",+1.08%,"48,253","8,539","54,422"
삼성카드,"46,550",하락 200,-0.43%,"38,221","1,784","53,932"
한미약품,"394,500","상승 6,000",+1.54%,"36,649","14,410","50,539"
JB금융지주,"26,900",하락 300,-1.10%,"76,220","2,059","50,174"
오리온,"125,200","상승 1,100",+0.89%,"26,514","3,328","49,490"
LG디스플레이,"9,720",상승 130,+1.36%,"1,268,047","12,347","48,600"
NC,"223,500","상승 4,000",+1.82%,"23,914","5,342","48,151"
한화생명,"5,460",상승 120,+2.25%,"1,551,520","8,422","47,422"
두산로보틱스,"72,400",상승 900,+1.26%,"156,061","11,336","46,930"
LG생활건강,"305,000","상승 3,000",+0.99%,"24,680","7,536","45,675"
엘앤에프,"110,200","상승 5,200",+4.95%,"222,655","24,806","44,834"
BNK금융지주,"14,410",하락 250,-1.71%,"451,142","6,513","44,718"
SKC,"86,300","상승 2,900",+3.48%,"50,633","4,378","42,803"
DB하이텍,"96,000","상승 2,400",+2.56%,"98,452","9,416","41,764"
현대해상,"48,950","하락 1,050",-2.10%,"286,068","13,975","41,729"
KCC,"473,500","상승 36,000",+8.23%,"18,411","8,561","40,687"
한화엔진,"47,150",상승 800,+1.73%,"218,767","10,350","39,345"
신세계,"407,500","상승 7,000",+1.75%,"25,174","10,261","38,489"
현대제철,"28,650",상승 600,+2.14%,"183,140","5,292","38,232"
CJ,"125,000","상승 2,200",+1.79%,"48,947","6,126","36,471"
한온시스템,"3,545",상승 55,+1.58%,"1,336,010","4,733","36,381"
